variables= "x","y","z"
zone t= "1",i=21,j=21
0.357019 0.0101386 1.49316
0.357743 0.0238744 1.47313
0.358778 0.043535 1.44446
0.360383 0.0740077 1.40002
0.362488 0.110031 1.3487
0.365144 0.143619 1.3071
0.368856 0.177821 1.27523
0.374109 0.214781 1.25438
0.381513 0.256642 1.24705
0.391942 0.306126 1.25743
0.401785 0.361974 1.2791
0.400646 0.424408 1.30471
0.382473 0.489996 1.33458
0.360212 0.546459 1.35729
0.343374 0.592381 1.36487
0.327835 0.63812 1.35135
0.313425 0.696854 1.32195
0.302002 0.780958 1.31833
0.295092 0.890266 1.37124
0.293103 0.9 1.3569
0.408736 0 1.52324
0.409557 0.00964171 1.51044
0.410676 0.0227852 1.49298
0.412292 0.0417615 1.46778
0.414829 0.0715605 1.4282
0.417858 0.10749 1.38163
0.42067 0.141817 1.34335
0.423482 0.177434 1.31406
0.426421 0.216215 1.29556
0.429583 0.259785 1.29055
0.433064 0.309872 1.30289
0.434788 0.363748 1.3244
0.427457 0.423834 1.34491
0.405497 0.492031 1.36394
0.379429 0.557437 1.37244
0.35968 0.612221 1.36702
0.345856 0.660691 1.34308
0.337555 0.715947 1.30467
0.333015 0.793516 1.29308
0.331269 0.894474 1.33527
0.33092 0.899898 1.32
0.45 0 1.475
0.452021 0.00849741 1.46953
0.454815 0.0202469 1.46198
0.458931 0.0375573 1.45084
0.4656 0.0656 1.4328
0.473665 0.100937 1.41065
0.48039 0.136565 1.39187
0.485515 0.175315 1.37756
0.48855 0.218832 1.36938
0.488845 0.26811 1.36936
0.485644 0.323569 1.37984
0.479404 0.379994 1.39452
0.465964 0.439865 1.4043
0.439682 0.507819 1.40657
0.410014 0.57625 1.39417
0.387892 0.635142 1.36983
0.375399 0.683249 1.33276
0.371403 0.733326 1.28592
0.370836 0.804053 1.26771
0.371365 0.897823 1.30084
0.371212 0.899242 1.28561
0.483586 0 1.39465
0.486812 0.00735894 1.39657
0.491335 0.0176796 1.39926
0.498138 0.0332004 1.40332
0.509524 0.0591751 1.4101
0.523995 0.0934872 1.41887
0.536662 0.13024 1.4275
0.546568 0.172521 1.43629
0.552252 0.221934 1.44513
0.551956 0.27875 1.45368
0.543963 0.341624 1.46132
0.531706 0.402459 1.46646
0.514235 0.462993 1.46393
0.485855 0.52869 1.44841
0.455724 0.595073 1.41418
0.434076 0.652628 1.37038
0.422574 0.697986 1.32096
0.419833 0.743942 1.26731
0.419775 0.810288 1.24317
0.419755 0.899791 1.26772
0.418294 0.897613 1.25318
0.523529 0 1.31765
0.526654 0.00688468 1.32196
0.531061 0.0165975 1.32804
0.537747 0.0313316 1.33726
0.549095 0.056338 1.35292
0.563846 0.0900892 1.37367
0.577107 0.127329 1.39452
0.587745 0.171373 1.41577
0.594036 0.223816 1.43677
0.593933 0.284414 1.45605
0.5856 0.350598 1.47154
0.57345 0.41289 1.48158
0.558032 0.472586 1.48062
0.534291 0.535263 1.4614
0.509892 0.598202 1.41816
0.493192 0.652418 1.36539
0.484165 0.696371 1.31009
0.48163 0.743071 1.25183
0.480559 0.81032 1.22128
0.478598 0.899968 1.2364
0.47483 0.894718 1.2227
0.574683 0 1.24496
0.576903 0.00687239 1.24879
0.580037 0.0165694 1.25419
0.584791 0.0312827 1.26238
0.592863 0.0562632 1.27629
0.603353 0.089987 1.29499
0.612741 0.12717 1.3152
0.620179 0.171106 1.3384
0.624402 0.223402 1.36514
0.623914 0.28386 1.39505
0.617367 0.349982 1.42663
0.608244 0.412475 1.45346
0.597057 0.471836 1.46482
0.579938 0.532682 1.45206
0.562836 0.592334 1.40921
0.55279 0.642606 1.3554
0.549486 0.686173 1.29902
0.550656 0.736356 1.23819
0.550914 0.807317 1.20173
0.548105 0.899295 1.20727
0.542042 0.89039 1.19444
0.63913 0 1.17826
0.640541 0.00702222 1.18181
0.642528 0.0169121 1.18681
0.645534 0.0318769 1.19437
0.650616 0.057171 1.20715
0.657155 0.0910426 1.22439
0.662846 0.127886 1.24383
0.667089 0.170891 1.26768
0.669035 0.221763 1.29739
0.66768 0.28073 1.33356
0.662083 0.346102 1.37564
0.654832 0.409281 1.41448
0.646392 0.469504 1.43559
0.633945 0.529871 1.4291
0.621847 0.587034 1.38887
0.616801 0.634076 1.33663
0.619857 0.67757 1.28144
0.626769 0.730966 1.22124
0.630072 0.805168 1.18225
0.627607 0.898896 1.18032
0.619829 0.884593 1.16883
0.716575 0 1.11934
0.717354 0.00728262 1.12343
0.718448 0.017506 1.12917
0.720095 0.0329018 1.13781
0.722858 0.0587251 1.15231
0.726353 0.092857 1.17155
0.729242 0.129256 1.19247
0.731131 0.171002 1.21713
0.7315 0.219922 1.24689
0.729731 0.276787 1.28252
0.725199 0.340999 1.32396
0.719604 0.404894 1.3632
0.713096 0.466236 1.38652
0.703557 0.526463 1.38411
0.693722 0.581444 1.35009
0.690981 0.626078 1.30414
0.69882 0.670144 1.25411
0.710734 0.726735 1.1993
0.716924 0.803808 1.16234
0.715364 0.898754 1.15587
0.706925 0.877419 1.14631
0.804846 0 1.0696
0.805187 0.00760712 1.07536
0.805665 0.0182429 1.0834
0.80638 0.0341655 1.09545
0.807568 0.0606208 1.11546
0.809038 0.0950631 1.14125
0.810166 0.13104 1.16679
0.810744 0.171565 1.19317
0.810509 0.218586 1.22065
0.809145 0.273362 1.24891
0.806305 0.336332 1.277
0.802784 0.400685 1.30179
0.798132 0.462687 1.31634
0.790624 0.522353 1.31351
0.781422 0.575108 1.28893
0.77868 0.618169 1.25483
0.788213 0.663628 1.21517
0.801986 0.723526 1.17165
0.809324 0.803154 1.14187
0.808726 0.898842 1.13422
0.801163 0.869068 1.12722
0.900589 0 1.02982
0.900674 0.00795614 1.03841
0.900793 0.0190316 1.05036
0.900969 0.0355082 1.06814
0.90126 0.0626106 1.09739
0.901611 0.0973676 1.13406
0.901857 0.133019 1.16718
0.901937 0.172586 1.19629
0.901774 0.218126 1.21979
0.901279 0.27126 1.23517
0.900342 0.333221 1.23896
0.899063 0.397693 1.23526
0.896642 0.459475 1.22936
0.891832 0.517679 1.21942
0.884581 0.567868 1.20471
0.881568 0.610096 1.18697
0.888681 0.657843 1.16382
0.899063 0.721216 1.13835
0.904598 0.803106 1.12099
0.904615 0.899123 1.11558
0.899821 0.859822 1.11179
0.8 0 1.05
0.802075 0.00829876 1.05622
0.80495 0.019802 1.06485
0.809202 0.0368098 1.07761
0.816129 0.0645161 1.09839
0.824702 0.0995663 1.12436
0.832381 0.135029 1.14898
0.839133 0.173997 1.17322
0.844677 0.218631 1.19734
0.848528 0.270781 1.22114
